split,cattle_id,image_path,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,lbp_9,lbp_10,lbp_11,lbp_12,lbp_13,lbp_14,lbp_15,lbp_16,lbp_17,gabor_0,gabor_1,gabor_2,gabor_3,gabor_4,gabor_5,gabor_6,gabor_7,gabor_8,gabor_9,gabor_10,gabor_11,gabor_12,gabor_13,gabor_14,gabor_15,gabor_16,gabor_17,gabor_18,gabor_19,gabor_20,gabor_21,gabor_22,gabor_23,blob_count,blob_mean_r,blob_density,mean_intensity,std_intensity
train,cattle-001,D:\Abhishek\split\train\cattle-001\IMG20230723072810.jpg,0.05506617,0.03364158,0.039999202,0.03910236,0.039341517,0.041115273,0.04446349,0.054229114,0.06347656,0.0609654,0.04924665,0.044164542,0.040816326,0.04029815,0.037089445,0.028918209,0.059131857,0.22893415,70.1574,186.14978,-116.08499,544.8882,6309.5977,2184.0913,157.8629,165.479,1399.7352,667.7902,6608.2847,2256.1465,70.46988,122.06779,-114.65077,399.60855,6310.427,2139.3435,157.74017,152.27664,1398.7157,666.3918,6607.37,2261.5745,737.0,2.6480527,0.014688297,143.43484,61.263165
train,cattle-001,D:\Abhishek\split\train\cattle-001\IMG20230723072813.jpg,0.053033322,0.03248565,0.039620537,0.040796395,0.03900271,0.043088328,0.048668686,0.06228077,0.06893734,0.061981823,0.048947703,0.04432398,0.04145408,0.040876117,0.036212534,0.027901785,0.055444833,0.2149434,63.67348,194.01495,-104.6724,539.27136,5724.0854,1991.1299,143.24329,164.42859,1269.4321,663.81946,5994.2617,2065.8647,63.675648,116.774925,-105.75628,421.65607,5723.4097,1955.611,143.15553,161.89734,1268.7522,650.39764,5993.6714,2062.8716,702.0,2.6448514,0.013990752,130.08301,58.1767
train,cattle-001,D:\Abhishek\split\train\cattle-001\IMG20230723072815.jpg,0.054189254,0.0285794,0.040078923,0.042032048,0.041573662,0.047154017,0.050203286,0.06126435,0.067940846,0.062181123,0.047931284,0.0470743,0.044822227,0.042849172,0.037328605,0.02612803,0.05317283,0.20549665,69.63398,183.7681,-114.33246,523.57947,6259.0713,2055.0393,156.55286,171.39168,1387.4564,679.03125,6553.908,2133.1616,69.419815,119.83852,-115.629745,439.12323,6258.306,2024.3936,156.61487,147.58699,1387.993,661.06165,6554.3955,2135.0862,751.0,2.6234038,0.014967315,142.22552,58.985474
train,cattle-001,D:\Abhishek\split\train\cattle-001\IMG20230723072817.jpg,0.04673549,0.029396525,0.036910076,0.04055724,0.038723692,0.041414224,0.052614797,0.06656569,0.08902663,0.07457749,0.053890307,0.046615914,0.042629942,0.040278222,0.035813935,0.024354273,0.047552615,0.19234295,68.59423,186.2653,-114.18632,549.2529,6184.8726,2123.5215,154.74513,151.86073,1371.1527,658.2644,6476.914,2199.0168,68.76041,74.58122,-113.55056,342.37302,6185.221,2074.251,154.78394,111.932076,1371.5271,616.0836,6477.2173,2185.702,628.0,2.7673435,0.0125159435,140.54482,58.245136
train,cattle-001,D:\Abhishek\split\train\cattle-001\IMG20230723072819.jpg,0.05843431,0.03370137,0.039819833,0.04043766,0.039680324,0.040019132,0.044363838,0.054069676,0.06433354,0.053033322,0.043327488,0.042330995,0.0392618,0.04179289,0.038484536,0.03121014,0.060307715,0.23539142,61.339725,200.07933,-101.55548,561.9183,5527.5464,2039.4954,138.2688,165.95538,1225.7239,661.7108,5788.6416,2111.5083,61.379856,126.757645,-100.73967,420.47665,5528.0674,1995.6718,138.2822,163.40652,1225.8467,651.86084,5788.7666,2106.9382,773.0,2.5535429,0.015405771,125.63702,59.364788
train,cattle-002,D:\Abhishek\split\train\cattle-002\IMG20230723072836.jpg,0.061443716,0.039182078,0.04579879,0.04278938,0.037348535,0.037408322,0.04033801,0.047173947,0.053691007,0.046157524,0.035714287,0.034638073,0.035714287,0.03780692,0.040876117,0.03641183,0.06782127,0.2596859,68.72037,270.4463,-114.49362,824.72327,6192.0986,2206.7068,155.03847,224.60722,1374.0349,843.50586,6485.7617,2276.5532,68.880905,175.5254,-113.022224,582.0942,6192.9805,2137.912,154.81036,220.8504,1372.0764,823.24896,6483.9937,2261.8472,878.0,2.670375,0.017498406,140.7228,71.71522
train,cattle-002,D:\Abhishek\split\train\cattle-002\IMG20230723072836_01.jpg,0.053113043,0.034279335,0.044543207,0.04205198,0.04037787,0.04549984,0.0484096,0.057537466,0.06634646,0.053651147,0.040039062,0.03776706,0.03607302,0.04053731,0.040836256,0.034099966,0.05741789,0.22741948,67.9959,278.098,-113.36995,831.85236,6139.589,2210.7795,153.57245,229.77501,1361.0944,863.91486,6429.488,2277.0554,68.33834,130.49779,-112.37462,566.87665,6140.117,2141.4028,153.67169,184.4852,1361.629,834.7557,6429.938,2270.9316,805.0,2.710283,0.016043527,139.52087,71.22877
train,cattle-002,D:\Abhishek\split\train\cattle-002\IMG20230723072839.jpg,0.056819994,0.037468113,0.046376754,0.04171317,0.038803414,0.0405971,0.044164542,0.05211655,0.063157685,0.049166933,0.0390625,0.03497688,0.036989797,0.040776465,0.04278938,0.034697864,0.06106505,0.23925781,64.466095,293.41232,-109.13809,881.56714,5827.88,2199.6843,145.84003,222.25017,1292.0125,861.5603,6103.7666,2252.0242,65.01315,142.66881,-106.21936,582.24335,5829.552,2119.4053,145.90929,210.93471,1292.46,864.1437,6104.1685,2257.5876,821.0,2.6309798,0.016362404,132.42773,72.51633
train,cattle-003,D:\Abhishek\split\train\cattle-003\IMG20230723072855.jpg,0.05586336,0.037308674,0.045021523,0.0417331,0.037189096,0.040258292,0.043526787,0.0533522,0.061643016,0.050442442,0.042111766,0.039660394,0.03776706,0.04043766,0.040716678,0.034638073,0.06142379,0.2369061,58.29071,265.32883,-96.58622,715.0986,5232.4863,2311.3618,131.01782,201.1709,1160.8595,792.9492,5480.313,2388.598,58.17801,134.39764,-96.25299,497.5394,5232.734,2254.9468,130.83069,200.1535,1159.3944,798.4453,5479.0464,2388.882,773.0,2.574125,0.015405771,118.90681,69.48878
train,cattle-004,D:\Abhishek\split\train\cattle-004\IMG20230723072922_01.jpg,0.049186863,0.02997449,0.043267697,0.04448342,0.043387275,0.044882014,0.04944595,0.063077964,0.071010046,0.06277902,0.050522164,0.04559949,0.042291135,0.039500955,0.037109375,0.026446907,0.059032205,0.19800302,68.14533,203.32607,-112.06738,610.9259,6116.05,2116.746,152.86455,173.90616,1355.4818,727.96967,6404.208,2211.4993,67.97002,130.74265,-111.62364,473.06033,6116.3643,2095.849,153.0662,166.31924,1357.0271,709.086,6405.541,2196.1104,734.0,2.6740487,0.014628507,139.0203,62.29413
train,cattle-004,D:\Abhishek\split\train\cattle-004\IMG20230723072924.jpg,0.05098055,0.03607302,0.046177454,0.042151626,0.03794643,0.041952327,0.044762436,0.05899235,0.07077089,0.05990912,0.04404496,0.041035555,0.0390625,0.041155133,0.04035794,0.030652104,0.060566805,0.2134088,67.263145,248.86421,-111.42348,686.0935,6054.8745,2164.109,151.45705,171.59532,1342.3524,731.9391,6340.6104,2253.0574,67.30779,111.077995,-110.96667,436.05804,6055.141,2128.9998,151.50932,168.39647,1342.7933,717.62775,6341.086,2236.8967,744.0,2.6602044,0.0148278065,137.60796,63.921936
train,cattle-004,D:\Abhishek\split\train\cattle-004\IMG20230723072925.jpg,0.058274873,0.03491709,0.04551977,0.043427136,0.038006216,0.042610012,0.04312819,0.052933674,0.05859375,0.051618304,0.044005103,0.039740115,0.03995934,0.040457588,0.04033801,0.030951053,0.06746253,0.22805724,67.706314,215.4343,-112.169044,616.52747,6102.417,2057.5093,152.72124,198.27534,1353.1274,730.5797,6390.4883,2155.3047,67.86201,154.77321,-112.72962,508.9966,6101.994,2051.1758,152.68015,185.5118,1352.7668,715.36206,6390.175,2144.0137,797.0,2.5924292,0.015884088,138.65846,63.03805
train,cattle-005,D:\Abhishek\split\train\cattle-005\IMG20230723073953.jpg,0.033502072,0.019013073,0.031788107,0.039700255,0.045101244,0.058095504,0.06558913,0.09018256,0.10722258,0.08858817,0.060526945,0.052594867,0.04679528,0.040039062,0.02985491,0.017578125,0.037049584,0.13677853,66.42504,144.31142,-110.24193,561.10175,5978.298,2556.4736,149.55956,101.39458,1325.127,677.88275,6260.3315,2639.748,66.41161,54.099945,-110.13045,301.35135,5978.3755,2514.0088,149.63582,115.27187,1325.8145,729.16315,6260.9014,2660.0422,491.0,2.9184356,0.009785555,135.84445,65.13348
train,cattle-006,D:\Abhishek\split\train\cattle-006\IMG20230723074013.jpg,0.052754305,0.03738839,0.039500955,0.035714287,0.03511639,0.038085938,0.04312819,0.057836417,0.0767897,0.06646604,0.04703444,0.04161352,0.040058993,0.039879624,0.037408322,0.030253507,0.053870376,0.22710061,64.386955,212.83685,-105.87841,569.6722,5774.4106,2311.5671,144.3678,137.08714,1279.9337,684.76105,6046.6514,2389.868,64.32143,87.44577,-105.80156,310.45328,5774.5195,2251.1987,144.48524,153.9179,1280.8589,678.3424,6047.435,2379.939,690.0,2.658568,0.013751594,131.25215,62.827316
train,cattle-006,D:\Abhishek\split\train\cattle-006\IMG20230723074013_01.jpg,0.052953605,0.033541933,0.03924187,0.036910076,0.036092952,0.040457588,0.046974648,0.0611647,0.07902184,0.06678492,0.047652263,0.04167331,0.041115273,0.03908243,0.03653141,0.029695472,0.052535076,0.21857063,63.87485,205.89687,-105.07527,549.5474,5728.653,2241.9106,143.23419,134.75475,1269.9231,675.5024,5998.881,2321.7249,63.65985,88.440186,-104.65098,321.74054,5729.0024,2184.8594,143.32648,156.14578,1270.7186,664.4632,5999.5723,2306.2163,659.0,2.7876532,0.013133769,130.20541,61.418728
train,cattle-007,D:\Abhishek\split\train\cattle-007\IMG20230723074019.jpg,0.045320474,0.023158481,0.03252551,0.037029654,0.0403978,0.050223213,0.05867347,0.073541135,0.09084024,0.0798589,0.05819515,0.05038265,0.04386559,0.03770727,0.03262516,0.021863041,0.047692124,0.17610013,64.406,125.43918,-105.377594,440.29004,5783.8076,2354.6274,144.68794,117.90223,1282.8458,638.91876,6056.87,2445.1482,64.24656,92.6678,-105.963326,348.2734,5783.491,2334.5874,144.61394,133.84633,1282.247,673.709,6056.336,2454.8877,582.0,2.7992682,0.011599171,131.46796,61.146137
train,cattle-008,D:\Abhishek\split\train\cattle-008\IMG20230723074034.jpg,0.045898438,0.02853954,0.034339126,0.03645169,0.037866708,0.04304847,0.051259566,0.07019292,0.08958466,0.077427454,0.05711894,0.050063774,0.042111766,0.040915977,0.03236607,0.02485252,0.04683514,0.19112723,68.73674,162.15907,-113.61986,556.9582,6173.44,2538.8774,154.48741,163.57283,1369.1459,746.37555,6465.319,2619.5623,68.57066,106.72431,-113.132065,422.85135,6173.808,2493.1929,154.40271,137.23361,1368.5879,760.8934,6464.812,2639.225,612.0,2.8726215,0.012197066,140.30826,68.198395
train,cattle-009,D:\Abhishek\split\train\cattle-009\IMG20230723074601.jpg,0.043765943,0.032904178,0.038225446,0.038564254,0.03908243,0.045101244,0.053850446,0.07212611,0.08238999,0.06632653,0.048927773,0.042012118,0.04035794,0.04073661,0.03912229,0.027981505,0.05189732,0.19662787,74.34519,215.00458,-121.28946,679.66254,6683.457,2283.2747,167.0868,183.71364,1481.8396,795.08264,6998.2705,2387.3525,74.34613,118.51249,-122.33905,469.5209,6682.771,2249.611,167.14433,162.91734,1482.3047,733.4843,6998.684,2355.1667,648.0,2.8529794,0.012914541,151.9215,66.19064
train,cattle-009,D:\Abhishek\split\train\cattle-009\IMG20230723074613.jpg,0.052893814,0.02614796,0.032983895,0.039779976,0.04013871,0.044523276,0.051977042,0.06562898,0.08294802,0.070093274,0.05636161,0.049047355,0.04450335,0.04031808,0.032904178,0.023038903,0.04964525,0.19706632,63.753674,126.57634,-102.684074,475.96286,5716.939,1829.9447,142.93654,115.28432,1268.1531,566.2566,5986.3374,1886.1061,63.466606,99.147285,-104.53435,335.44705,5715.8457,1778.108,142.85936,120.22193,1267.5281,557.2643,5985.7686,1876.1907,665.0,2.7529316,0.013253348,129.97356,50.952335
train,cattle-009,D:\Abhishek\split\train\cattle-009\IMG20230723074615.jpg,0.05195711,0.024613362,0.03384088,0.04035794,0.042211417,0.047751915,0.054328762,0.06499123,0.077467315,0.07063138,0.05883291,0.05317283,0.046974648,0.042530295,0.033960458,0.020627392,0.0482103,0.18753986,60.678352,120.89264,-100.08181,487.539,5457.6436,2117.0828,136.55338,129.8212,1210.6482,642.3153,5715.731,2180.5261,60.76359,118.05392,-99.499344,388.81473,5457.965,2062.77,136.4615,127.198616,1209.8917,645.6999,5715.0483,2182.7354,664.0,2.7323182,0.013233419,124.06258,57.81406
train,cattle-009,D:\Abhishek\split\train\cattle-009\IMG20230723074617.jpg,0.054129463,0.027124522,0.034558356,0.037866708,0.039779976,0.045659278,0.051598374,0.0642339,0.074876435,0.069236286,0.056560904,0.05169802,0.04518096,0.042669803,0.034618143,0.022720026,0.048987564,0.19850127,61.67883,116.7076,-101.38549,479.88098,5546.9956,2013.7598,138.82368,128.63885,1230.8059,620.5096,5809.436,2077.8286,61.737595,114.23589,-101.400085,376.36737,5546.9473,1968.1664,138.63528,128.24513,1229.2797,619.6987,5808.0913,2078.4236,675.0,2.710576,0.013452646,126.08223,55.549603
